wes_32.sample_A13-2	0.1	1353122
wes_40.sample_BR127	0.1	1261812
wes_16.sample_CH00279	0.1	1342616
wes_11.sample_417	0.1	1381208
wes_32.sample_A13-2	0.2	1304723
wes_40.sample_BR127	0.2	1201546
wes_32.sample_A13-2	0.25	1283849
wes_16.sample_CH00279	0.2	1223168
wes_11.sample_417	0.2	1276775
wes_32.sample_A13-2	0.4	1227592
wes_40.sample_BR127	0.25	1175985
wes_16.sample_CH00279	0.25	1185033
wes_32.sample_A13-2	0.5	1197762
wes_11.sample_417	0.25	1239478
wes_40.sample_BR127	0.4	1108042
wes_32.sample_A13-2	0.75	1119556
wes_16.sample_CH00279	0.4	1099450
wes_11.sample_417	0.4	1150007
wes_40.sample_BR127	0.5	1069460
wes_32.sample_A13-2	0.9	1051824
wes_16.sample_CH00279	0.5	1056220
wes_32.sample_A13-2	0.95	1018258
wes_40.sample_BR127	0.75	971510
wes_11.sample_417	0.5	1104395
wes_16.sample_CH00279	0.75	957017
wes_32.sample_A13-2	0.999	964247
wes_40.sample_BR127	0.9	894271
wes_11.sample_417	0.75	995046
wes_32.sample_A13-2	1.0	963753
wes_16.sample_CH00279	0.9	880510
wes_40.sample_BR127	0.95	857021
wes_32.sample_A6-2	0.1	1414982
wes_11.sample_417	0.9	917092
wes_40.sample_BR127	0.999	791862
wes_16.sample_CH00279	0.95	840289
wes_32.sample_A6-2	0.2	1368665
wes_40.sample_BR127	1.0	791132
wes_11.sample_417	0.95	879913
wes_32.sample_A6-2	0.25	1348086
wes_16.sample_CH00279	0.999	769725
wes_32.sample_A6-2	0.4	1293280
wes_11.sample_417	0.999	798764
wes_16.sample_CH00279	1.0	769702
wes_40.sample_BR128	0.1	1211797
wes_32.sample_A6-2	0.5	1261782
wes_32.sample_A6-2	0.75	1178528
wes_40.sample_BR128	0.2	1149783
wes_11.sample_417	1.0	798586
wes_16.sample_CH00281	0.1	1410393
wes_32.sample_A6-2	0.9	1104229
wes_40.sample_BR128	0.25	1123745
wes_16.sample_CH00281	0.2	1331896
wes_32.sample_A6-2	0.95	1063424
wes_11.sample_470	0.1	1477934
wes_40.sample_BR128	0.4	1056547
wes_32.sample_A6-2	0.999	1002549
wes_16.sample_CH00281	0.25	1302797
wes_40.sample_BR128	0.5	1018510
wes_11.sample_470	0.2	1375212
wes_32.sample_A6-2	1.0	1002171
wes_16.sample_CH00281	0.4	1230591
wes_40.sample_BR128	0.75	923438
wes_11.sample_470	0.25	1337419
wes_32.sample_A7-2	0.1	1286301
wes_16.sample_CH00281	0.5	1191006
wes_40.sample_BR128	0.9	850046
wes_32.sample_A7-2	0.2	1238980
wes_11.sample_470	0.4	1251927
wes_16.sample_CH00281	0.75	1094278
