SAMPLE	BAIT_SET	GENOME_SIZE	BAIT_TERRITORY	TARGET_TERRITORY	BAIT_DESIGN_EFFICIENCY	TOTAL_READS	PF_READS	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PCT_PF_UQ_READS_ALIGNED	PF_UQ_BASES_ALIGNED	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	ON_TARGET_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	MEAN_TARGET_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	AT_DROPOUT	GC_DROPOUT	SAMPLE	LIBRARY	READ_GROUP
wes_16.sample_CH00282	UTRs_norm	3101804739	49244280	49244280	1	53193512	53193512	52292184	1	0.983056	50192875	0.959854	6226989790	864556982	562154996	4800277812	864556982	0.229117	0.770883	0.605979	17.556496	18.640493	0.130024	0.130024	8.745288	0.136238	?	0.382216	0.261481	0.229117	0.203694	0.179382	0.154939	0.04835	168547561	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00283	UTRs_norm	3101804739	49244280	49244280	1	51917246	51917246	50875135	1	0.979927	48798953	0.959191	6046559622	823168419	543688511	4679702692	823168419	0.226055	0.773945	0.602235	16.716021	17.796439	0.126843	0.126843	8.575097	0.141882	?	0.378127	0.257029	0.224413	0.198749	0.173982	0.148797	0.042505	135225058	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00284	UTRs_norm	3101804739	49244280	49244280	1	44318616	44318616	42839578	1	0.966627	41018662	0.957495	5067990903	675256226	445360098	3947374579	675256226	0.221116	0.778884	0.602576	13.712379	14.802764	0.121891	0.121891	8.392502	0.16289	?	0.355593	0.246354	0.209266	0.178246	0.147921	0.118432	0.023255	65462715	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00285	UTRs_norm	3101804739	49244280	49244280	1	46946504	46946504	46136603	1	0.982748	44299273	0.960176	5492897304	723905897	471953081	4297038326	723905897	0.21771	0.78229	0.605344	14.700304	15.607698	0.123358	0.123358	8.30117	0.137265	?	0.389977	0.257068	0.220272	0.190154	0.160238	0.129949	0.024804	137732579	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00286	UTRs_norm	3101804739	49244280	49244280	1	54494498	54494498	53611831	1	0.983803	51510562	0.960806	6386847093	856653845	559911583	4970281665	856653845	0.221794	0.778206	0.60474	17.396007	18.31696	0.12576	0.12576	8.448459	0.124122	?	0.40737	0.263267	0.230087	0.204813	0.180431	0.155369	0.044764	174496582	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00287	UTRs_norm	3101804739	49244280	49244280	1	85487430	85487430	77441288	1	0.905879	70297652	0.907754	8692674091	895038423	531058253	7266577415	895038423	0.164057	0.835943	0.627614	18.17548	18.812183	0.083759	0.083759	6.485552	0.092256	?	0.496856	0.227976	0.192698	0.16682	0.143963	0.122512	0.05335	32820927	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00288	UTRs_norm	3101804739	49244280	49244280	1	48156046	48156046	41879615	1	0.869665	37320806	0.891145	4611227458	636641383	384537769	3590048306	636641383	0.221455	0.778545	0.623438	12.92823	14.108092	0.105763	0.105763	8.696349	0.177733	?	0.309711	0.20858	0.171895	0.141656	0.114694	0.091677	0.033146	17247474	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00292	UTRs_norm	3101804739	49244280	49244280	1	53458006	53458006	46530510	1	0.870412	41254687	0.886616	5090530557	716747219	427663546	3946119792	716747219	0.224812	0.775188	0.626302	14.554933	15.7961	0.107261	0.107261	8.868734	0.171725	?	0.316897	0.211495	0.177726	0.15071	0.126231	0.104109	0.040822	19517151	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00293	UTRs_norm	3101804739	49244280	49244280	1	64972274	64972274	57035930	1	0.87785	50847066	0.891492	6291455630	875982788	527633810	4887839032	875982788	0.223099	0.776901	0.62409	17.788519	19.25251	0.107859	0.107859	8.770071	0.167622	?	0.328212	0.221926	0.189812	0.165493	0.143659	0.123402	0.055401	25327979	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00294	UTRs_norm	3101804739	49244280	49244280	1	68205042	68205042	59762119	1	0.876213	53104774	0.888603	6553098767	895200871	538115115	5119782781	895200871	0.218723	0.781277	0.624566	18.178779	19.541728	0.105001	0.105001	8.604635	0.15839	?	0.341572	0.222863	0.191082	0.167156	0.145676	0.125592	0.057089	25607153	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00295	UTRs_norm	3101804739	49244280	49244280	1	51778662	51778662	45248400	1	0.873881	40125812	0.88679	4959471240	688214025	412197103	3859060112	688214025	0.221881	0.778119	0.625415	13.975512	15.185008	0.106332	0.106332	8.740712	0.172603	?	0.317567	0.210702	0.175276	0.146972	0.121543	0.099167	0.037938	19263425	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00296	UTRs_norm	3101804739	49244280	49244280	1	64569674	64569674	56448947	1	0.874233	50300449	0.891079	6200922436	841174838	503739220	4856008378	841174838	0.216889	0.783111	0.625449	17.081676	18.334026	0.104219	0.104219	8.544539	0.157503	?	0.342003	0.218932	0.186997	0.162661	0.140519	0.119841	0.052267	23604537	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00297	UTRs_norm	3101804739	49244280	49244280	1	55825150	55825150	48896119	1	0.87588	43581818	0.891314	5381182124	740110496	444227842	4196843786	740110496	0.220089	0.779911	0.624915	15.02937	16.26694	0.106061	0.106061	8.663184	0.167457	?	0.325393	0.212746	0.179408	0.152977	0.129046	0.107361	0.043077	21119921	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00298	UTRs_norm	3101804739	49244280	49244280	1	47001512	47001512	41033704	1	0.873029	36408296	0.887278	4496683221	625178831	375794570	3495709820	625178831	0.222603	0.777397	0.624571	12.695461	13.844457	0.10641	0.10641	8.757308	0.177526	?	0.307896	0.205323	0.169301	0.139631	0.113066	0.090237	0.03236	17405967	-1	-1	-1	-1	-1	-1	0	0			
wes_16.sample_CH00329	UTRs_norm	3101804739	49244280	49244280	1	60195930	60195930	54663878	1	0.908099	49496699	0.905474	6098133031	641804335	378513563	5077815133	641804335	0.167316	0.832684	0.629024	13.033074	13.633624	0.085295	0.085295	6.62925	0.11537	?	0.43775	0.211996	0.17268	0.14078	0.112219	0.088309	0.030813	24013860	-1	-1	-1	-1	-1	-1	0	0			
wes_1.sample_68	UTRs_norm	3101804739	49244280	49244280	1	135336400	135336400	127118907	1	0.939281	118224869	0.930034	11279805619	1092500080	489665046	9697640493	1092500080	0.140265	0.859735	0.69051	22.185319	22.752141	0.082372	0.082372	6.100684	0.068057	22.752141	0.623474	0.293068	0.240507	0.206447	0.178851	0.154529	0.069812	59940453	-1	-1	-1	-1	-1	-1	0	0			
wes_1.sample_69	UTRs_norm	3101804739	49244280	49244280	1	143648586	143648586	128596615	1	0.895217	118646679	0.922627	10866651521	1209251190	554803222	9102597109	1209251190	0.162337	0.837663	0.685495	24.556176	25.079815	0.085899	0.085899	7.009377	0.061435	?	0.570812	0.245048	0.211459	0.191434	0.175779	0.162006	0.100242	39018929	-1	-1	-1	-1	-1	-1	0	0			
wes_1.sample_70	UTRs_norm	3101804739	49244280	49244280	1	122092250	122092250	114574441	1	0.938425	105693588	0.922488	10051759071	1054088733	474486353	8523183985	1054088733	0.15207	0.84793	0.689589	21.405303	21.988313	0.088097	0.088097	6.605319	0.073535	?	0.580317	0.282553	0.231881	0.199923	0.174711	0.152191	0.068652	59317840	-1	-1	-1	-1	-1	-1	0	0			
